Date,Vendor Code,Column3,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,,,
1/2/2025,BCP,Broadway Christian Parish,SJ,,,CCFN,159.00,,,,,69.00,6.00,150.00, 120.00 ,384.00,78,,,,
1/2/2025,CUMC,Calvary United Methodist Church,ELK ,,,CCFN,40.50,,,,,,278.00,0.00,,318.50,78,,,,
1/2/2025,CCCFP,Christian Center Church Food Pantry,SJ,,,CCFN,75.00,,,,,40.25,44.00,150.00, 120.00 ,309.25,78,,,,
1/2/2025,EC,Excel Center,SJ,,,CCFN,,,,,,,,112.50, 90.00 ,112.50,78,,,,
1/2/2025,NIA,Northern Indiana Atheists,SJ,,,CCFN,62.50,,,,,34.00,,0.00,,96.50,78,,,,
1/2/2025,THB,The Hub Bristol,ELK,,,CCFN,63.00,,,,,34.50,194.00,150.00, 120.00 ,441.50,78,,,,
1/2/2025,VFP,Village Food Pantry,SJ,,,CCFN,104.50,,,,,,,0.00,,104.50,78,,,,
1/2/2025,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,,11.50,162.00,0.00,,173.50,78,,,,
1/2/2025,FAF,Feed A Friend,SJ,,,CCFN,84.50,,,,18.00,11.50,70.10,30.00, 24.00 ,214.10,78,,,,
1/2/2025,GFP,Gymtown Food Pantry,ELK,,,CCFN,124.50,,315.00,,,,146.25,0.00,,585.75,78,,,,
1/2/2025,MBFP,Middlebury Food Pantry,ELK,,,CCFN,245.50,,,,12.50,69.00,426.00,0.00,,753.00,78,,,,
1/2/2025,FO,Fishers Outreach,SJ,,,CCFN,210.00,,,,,,,0.00,,210.00,78,,,,
1/2/2025,OP,Oaklawn: Properties,SJ,,,CCFN,11.50,,,,,,,0.00,,11.50,78,,,,
1/2/2025,WHCP,World Harvest Church Pantry ,ELK,,,CCFN,381.00,,191.80,272.00,381.00,,249.00,150.00, 120.00 ,"1,624.80",78,,,,
1/2/2025,OPC,Oaklawn Psychiatric Center,SJ,,,CCFN,,,,,,5.75,,30.00, 24.00 ,35.75,78,,,,
1/2/2025,TW,The Window,ELK,,,CCFN,159.00,,,,,,195.00,150.00, 120.00 ,504.00,78,,,,
1/2/2025,SAG,Salvation Army: Goshen,ELK,,,CCFN,157.80,,,,,,,0.00,,157.80,78,,,,
1/2/2025,BTK,Beyond The Kitchen ,SJ,,,CCFN,260.00,,,,,69.00,146.80,0.00,,475.80,78,,,,
1/3/2025,BTK,Beyond The Kitchen ,SJ,,,CCFN,,100.00,,225.00,18.00,,10.00,0.00,,353.00,78,,,,
1/3/2025,CON,Church of Nazarene,SJ,,,CCFN,,,,1.00,,,62.00,0.00,,63.00,78,,,,
1/3/2025,GHFGC,Greater Harvest Full Gospel Church,OTH,,,CCFN,30.50,,,11.00,,,51.00,0.00,,92.50,78,,,,
1/3/2025,LS,Legacy Steps,SJ,,,CCFN,53.00,100.00,,209.00,,,5.00,15.00, 12.00 ,382.00,78,,,,
1/3/2025,TMLF,The Miracle Lyfe Foundation,SJ,,,CCFN,122.56,,,5.50,36.00,69.00,524.50,0.00,,757.56,78,,,,
1/3/2025,OOA,Oaklawn: Oliver Apts,SJ,,,CCFN,41.00,50.00,,59.00,,23.00,44.00,0.00,,217.00,78,,,,
1/3/2025,TWFF,The Walorski Family Foundation,SJ,,,CCFN,52.00,,,,,5.70,678.90,0.00,,736.60,78,,,,
1/3/2025,STVINC,St. Vincent de Paul: Christ the King,ELK,,,CCFN,63.00,,,27.00,,69.00,,255.00, 204.00 ,414.00,78,,,,
1/3/2025,MHA,Miami Hills Apartments,SJ,,,CCFN,69.00,,,,40.00,,49.00,0.00,,158.00,78,,,,
1/3/2025,FAF,Feed A Friend,SJ,,,CCFN,84.50,,,,18.00,11.50,77.60,30.00, 24.00 ,221.60,78,,,,
1/3/2025,OPSHE,Oaklawn: PSH - Elkhart,ELK,,,CCFN,127.00,,,13.50,,,134.60,75.00, 60.00 ,350.10,78,,,,
1/3/2025,OPSHG,Oaklawn: PSH - Goshen,ELK,,,CCFN,105.50,,,,,34.80,25.00,0.00,,165.30,78,,,,
1/6/2025,CBCC,Charles Black Community Center,SJ,,,CCFN,6.00,30.00,30.00,,,,,0.00,,66.00,78,,,,
1/6/2025,CMYC,Charles Martin Youth Center,SJ,,,Backpack,,,,,,,,75.00, 60.00 ,75.00,78,,,,
1/6/2025,CTAC,Christ Temple Apostolic Church,SJ,,,CCFN,,,,,,138.00,327.00,0.00,,465.00,78,,,,
1/6/2025,CLAY,Clay UMC Food Pantry ,SJ,,,CCFN,,,,,,,,375.00, 300.00 ,375.00,78,,,,
1/6/2025,LPH,Lasalle Park Homes,SJ ,,,CCFN,,,,,,,,150.00, 120.00 ,150.00,78,,,,
1/6/2025,OHA,Oaklawn: Hope Ave,ELK,,,CCFN,,,,,,48.00,,0.00,,48.00,78,,,,
1/6/2025,SPBMBC,St. Paul Bethel Missionary Baptist Church,SJ,,,CCFN,75.00,,,,,,,0.00,,75.00,78,,,,
1/6/2025,NCCFP,New Carlisle Community Food Pantry ,SJ,,,CCFN,18.00,,,,,,,0.00,,18.00,78,,,,
1/6/2025,LYD,Lydick UMC,SJ,,,CCFN,104.80,,,137.00,,,30.00,0.00,,271.80,78,,,,
1/6/2025,DFM,Divine Faith Ministry,SJ,,,CCFN,169.00,,,55.00,,117.00,,0.00,,341.00,78,,,,
1/6/2025,FAF,Feed A Friend,SJ,,,CCFN,74.00,,,,18.00,5.60,7.00,30.00, 24.00 ,134.60,78,,,,
1/6/2025,SJL,St. Joe Library,SJ,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,78,,,,
1/6/2025,STVINC,St. Vincent de Paul: Center,ELK,,,CCFN,94.00,100.00,12.00,96.00,,,,0.00,,302.00,78,,,,
1/7/2025,CE,Culver Elementary,MAR,,,Backpack,,,,,,,,187.50, 150.00 ,187.50,78,,,,
1/7/2025,CFP,Culver Food Pantry,MAR,,,CCFN,,,255.00,,,,,0.00,,255.00,78,,,,
1/7/2025,CHS,Culver High School,MAR,,,Backpack,,,,,,,,105.00, 84.00 ,105.00,78,,,,
1/7/2025,FO,Fishers Outreach,SJ,,,CCFN,,,14.00,96.00,623.00,48.00,,0.00,,781.00,78,,,,
1/7/2025,KKH,Karl King Holdings,SJ,,,CCFN,263.50,144.00,97.00,313.00,55.00,159.00,348.00,150.00, 120.00 ,"1,529.50",78,,,,
1/7/2025,LS,Legacy Steps,SJ,,,CCFN,,144.00,,,,,,0.00,,144.00,78,,,,
1/7/2025,OLOTR,Our Lady of the Road,SJ,,,CCFN,,48.00,22.00,135.00,,,108.00,75.00, 60.00 ,388.00,78,,,,
1/7/2025,SJL,St. Joe Library,SJ,,,Backpack,,,,,,,,225.00, 180.00 ,225.00,78,,,,
1/7/2025,BOHSJ,Brick of Hope - St Joe County,SJ,,,CCFN,495.00,114.00,47.00,254.00,18.00,236.00,737.00,75.00, 60.00 ,"1,976.00",78,,,,
1/7/2025,AFFM,Abundant Faith Family Ministries,SJ,  ,,CCFN,3.70,101.00,40.00,31.00,20.00,25.00,11.00,0.00,,231.70,78,,,,
