GEO_ID,NAME,Food Insecurity Index
1400000US18039000100,Census Tract 1; Elkhart County; Indiana,5
1400000US18039000201,Census Tract 2.01; Elkhart County; Indiana,7
1400000US18039000202,Census Tract 2.02; Elkhart County; Indiana,7
1400000US18039000301,Census Tract 3.01; Elkhart County; Indiana,4
1400000US18039000302,Census Tract 3.02; Elkhart County; Indiana,6
1400000US18039000400,Census Tract 4; Elkhart County; Indiana,4
1400000US18039000501,Census Tract 5.01; Elkhart County; Indiana,6
1400000US18039000502,Census Tract 5.02; Elkhart County; Indiana,5
1400000US18039000601,Census Tract 6.01; Elkhart County; Indiana,2
1400000US18039000602,Census Tract 6.02; Elkhart County; Indiana,3
1400000US18039000701,Census Tract 7.01; Elkhart County; Indiana,3
1400000US18039000702,Census Tract 7.02; Elkhart County; Indiana,7
1400000US18039000801,Census Tract 8.01; Elkhart County; Indiana,2
1400000US18039000803,Census Tract 8.03; Elkhart County; Indiana,2
1400000US18039000804,Census Tract 8.04; Elkhart County; Indiana,4
1400000US18039000901,Census Tract 9.01; Elkhart County; Indiana,4
1400000US18039000902,Census Tract 9.02; Elkhart County; Indiana,1
1400000US18039001000,Census Tract 10; Elkhart County; Indiana,3
1400000US18039001100,Census Tract 11; Elkhart County; Indiana,2
1400000US18039001200,Census Tract 12; Elkhart County; Indiana,6
1400000US18039001301,Census Tract 13.01; Elkhart County; Indiana,4
1400000US18039001302,Census Tract 13.02; Elkhart County; Indiana,4
1400000US18039001401,Census Tract 14.01; Elkhart County; Indiana,4
1400000US18039001402,Census Tract 14.02; Elkhart County; Indiana,5
1400000US18039001501,Census Tract 15.01; Elkhart County; Indiana,6
1400000US18039001502,Census Tract 15.02; Elkhart County; Indiana,4
1400000US18039001601,Census Tract 16.01; Elkhart County; Indiana,8
1400000US18039001602,Census Tract 16.02; Elkhart County; Indiana,5
1400000US18039001701,Census Tract 17.01; Elkhart County; Indiana,5
1400000US18039001702,Census Tract 17.02; Elkhart County; Indiana,6
1400000US18039001801,Census Tract 18.01; Elkhart County; Indiana,4
1400000US18039001802,Census Tract 18.02; Elkhart County; Indiana,2
1400000US18039001901,Census Tract 19.01; Elkhart County; Indiana,7
