Date,Vendor Code,Vendor,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,,,,
1/1/2024,BCP,Broadway Christian Parish,SJ,,,CCFN,,,,,196.00,,,0.00,,196.00,,,,
1/1/2024,LS,Legacy Steps,SJ,,,CCFN,,,,,21.00,,,0.00,,21.00,,,,
1/1/2024,STA,St Augustine's Parish,SJ,,,CCFN,,,,,182.00,,,0.00,,182.00,,,,
1/2/2024,BRCKSJ,Brick of Hope - St Joe County,SJ,,,CCFN,24.00,,477.50,477.50,,,148.00,0.00,,"1,127.00",,,,
1/2/2024,BRCKSJ,Brick of Hope - St Joe County,SJ,,,CCFN,818.00,,818.00,"2,100.00",,,"5,455.00",0.00,,"9,191.00",,,,
1/2/2024,BCP,Broadway Christian Parish,SJ,,,CCFN,,,,,168.00,,,0.00,,168.00,,,,
1/2/2024,CTA,Christ Temple Apostolic Church,SJ,,,CCFN,,,,,,,237.50,0.00,,237.50,,,,
1/2/2024,CLU,Clubhouse of St. Joseph County,SJ,,,CCFN,,,,,72.00,,252.75,0.00,,324.75,,,,
1/2/2024,CFP,Culver Food Pantry,MAR,,,CCFN,,,,,70.00,,,0.00,,70.00,,,,
1/2/2024,DAV,David's Courage,MAR,,,CCFN,,,,,14.00,,,0.00,,14.00,,,,
1/2/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,64.75,0.00,,64.75,,,,
1/2/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,,3.00,,,42.75,0.00,,90.75,,,,
1/2/2024,GNJ,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,,,,18.00,90.00,,32.00,0.00,,140.00,,,,
1/2/2024,GNJ,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,530.00,,,,,,,0.00,,530.00,,,,
1/2/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,394.00,,,,,,,0.00,,394.00,,,,
1/2/2024,IUP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,688.00,,507.50,507.50,647.00,,600.00,0.00,,"2,950.00",,,,
1/2/2024,KBI,Kingdom Business International,SJ,,,CCFN,90.00,,,26.00,,,243.00,0.00,,359.00,,,,
1/2/2024,LS,Legacy Steps,SJ,,,CCFN,,,,,,,204.38,0.00,,204.38,,,,
1/2/2024,LYD,Lydick UMC,SJ,,,CCFN,,,,,,,189.25,0.00,,189.25,,,,
1/2/2024,LYD,Lydick UMC,SJ,,,CCFN,,,,,,,189.25,0.00,,189.25,,,,
1/2/2024,MCCC,Marshall County Community Center,MAR,,,CCFN,,,,,280.00,,,0.00,,280.00,,,,
1/2/2024,MIL,Milford Food Bank,ELK,,,CCFN,"8,100.00",,"7,680.00",,640.00,,"17,728.00",0.00,,"34,148.00",,,,
1/2/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,,,,,,,7.50,0.00,,7.50,,,,
1/2/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,,,,,168.00,,,0.00,,168.00,,,,
1/2/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,225.00,,,,,,240.00,0.00,,465.00,,,,
1/2/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,286.00,,,,,,215.00,0.00,,501.00,,,,
1/2/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,,,,,48.00,,495.75,0.00,,543.75,,,,
1/2/2024,NC,New Carlisle Food Pantry,SJ,,,CCFN,,,,,84.00,,,0.00,,84.00,,,,
1/2/2024,OTH,Other,OTH,Northern Indiana Athiests,,CCFN,,,,,,,199.50,0.00,,199.50,,,,
1/2/2024,OTH,Other,,ONE - Our Neighborhood Engagement,,CCFN,,,,98.00,48.00,,73.00,0.00,,219.00,,,,
1/2/2024,OTH,Other,OTH,Valeries Licensed Day Care,,CCFN,,,,,,,237.00,0.00,,237.00,,,,
1/2/2024,OTH,Other,OTH,Valeries Licensed Day Care,,CCFN,30.00,,,,,,499.75,0.00,,529.75,,,,
1/2/2024,SER,Serenity House,MAR,,,CCFN,,,,,,,62.00,0.00,,62.00,,,,
1/2/2024,FCDC,The Center,ELK,,,CCFN,104.00,,,,,,112.00,0.00,,216.00,,,,
1/2/2024,VCC,The Village Community Center,ELK,,,CCFN,,,,,,26.00,,0.00,,26.00,,,,
1/2/2024,VFP,Village Food Pantry,SJ,,,CCFN,,,,,,,48.00,0.00,,48.00,,,,
1/2/2024,WHC,World Harvest Church,ELK,,,CCFN,,,,610.00,436.00,257.00,,0.00,,"1,303.00",,,,
1/3/2024,AIDS,Aids Ministries,SJ,No CFFN form,,CCFN,,,,,420.00,,,0.00,,420.00,,,,
1/3/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,Nappanee,,Backpack,,,,,,,64.50,0.00,,64.50,,,,
1/3/2024,BL,Bread of Life,MAR,,,CCFN,,,,,420.00,,,0.00,,420.00,,,,
1/3/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,30.00,,,,,,297.00,0.00,,327.00,,,,
1/3/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,64.75,0.00,,64.75,,,,
1/3/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,,6.00,,,16.00,0.00,,67.00,,,,
1/3/2024,GNJ,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,148.00,,,,,,77.00,0.00,,225.00,,,,
1/3/2024,IUP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,,,,,,,32.00,0.00,,32.00,,,,
1/3/2024,IUP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,,,,,42.00,,,0.00,,42.00,,,,
1/3/2024,IUP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,,,,,,,117.00,0.00,,117.00,,,,
1/3/2024,IUP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,225.00,,,,,,54.00,0.00,,279.00,,,,
1/3/2024,IUP,Ironwood United Pentecostal Food Pantry,SJ,,,CCFN,628.00,,404.00,404.00,,,382.00,0.00,,"1,818.00",,,,
1/3/2024,MFP,Mishawaka Food Pantry,SJ,,,CCFN,,,,,280.00,,,0.00,,280.00,,,,
1/3/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,305.00,,305.00,,,,,0.00,,610.00,,,,
1/3/2024,NAP,Nappanee Open Door,ELK,,,CCFN,,,,15.00,,,,0.00,,15.00,,,,
1/3/2024,NAP,Nappanee Open Door,ELK,,,CCFN,,,,,,,204.75,0.00,,204.75,,,,
1/3/2024,NAP,Nappanee Open Door,ELK,,,CCFN,225.00,,,,,,,0.00,,225.00,,,,
1/3/2024,NC,New Carlisle Food Pantry,SJ,,,CCFN,104.00,,,,,,144.00,0.00,,248.00,,,,
1/3/2024,OAK,Oaklawn: Properties,SJ,,,CCFN,,,,,,,141.00,0.00,,141.00,,,,
1/3/2024,OTH,Other,OTH,ONE - Our Neighborhood Engagement,,CCFN,,,,33.00,24.00,,88.00,0.00,,145.00,,,,
1/3/2024,SJL,St. Joe Library,SJ,,,CCFN,,,,,,,,202.50, 162.00 ,202.50,,,,
1/3/2024,STH,Store House,SJ,,,CCFN,,,,,,,22.00,0.00,,22.00,,,,
1/3/2024,STH,Store House,SJ,delivery sheet corrected to 110,,CCFN,,,,,154.00,,,0.00,,154.00,,,,
1/3/2024,STH,Store House,SJ,,,CCFN,30.00,,,60.00,,,328.50,0.00,,418.50,,,,
1/3/2024,STH,Store House,SJ,,,CCFN,358.00,,358.00,,,,288.00,0.00,,"1,004.00",,,,
1/3/2024,FCDC,The Center,ELK,,,CCFN,,,,,105.00,,,0.00,,105.00,,,,
1/3/2024,FCDC,The Center,ELK,,,CCFN,,,,,,,117.00,0.00,,117.00,,,,
1/3/2024,WANE,Wa-Nee Community Schools,ELK,Backpacks NOT on delivery sheet,,Backpack,,,,,,,,187.50, 150.00 ,187.50,,,,
1/4/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,,,27.75,0.00,,27.75,,,,
1/4/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,,,,75.00, 60.00 ,75.00,,,,
1/4/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,,,,100.00,0.00,,100.00,,,,
1/4/2024,BGCE,Boys & Girls Club Elkhart County ,ELK,,,Backpack,,,,60.00,,,109.50,0.00,,169.50,,,,
1/4/2024,CUMC,Calvary United Methodist Church,ELK,,,CCFN,,,,,,,558.75,0.00,,558.75,,,,
1/4/2024,CCFP,Clay Church Food Pantry,SJ,"Bread on Delivery sheet says 120, cffn says 250",,CCFN,,,,,168.00,,,375.00, 300.00 ,543.00,,,,
1/4/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,24.00,0.00,,24.00,,,,
1/4/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,,6.00,14.00,,,0.00,,65.00,,,,
1/4/2024,FAF,Feed A Friend,SJ,,,CCFN,15.00,,,,,,64.75,0.00,,79.75,,,,
1/4/2024,GFP,Gymtown Food Pantry,ELK,,,CCFN,30.00,,,,,,117.00,0.00,,147.00,,,,
1/4/2024,GFP,Gymtown Food Pantry,ELK,"only on CFFN form, Backpacks NOT on delivery sheet",,CCFN,,,,,168.00,,,150.00, 120.00 ,318.00,,,,
1/4/2024,HCH,Heart City Health - Scenic,ELK,,,CCFN,,,,,,,,0.00, 72.00 ,0.00,,,,
1/4/2024,HCH,Heart City Health - Simpson,ELK,,,CCFN,,,,,,,,0.00,,0.00,,,,
1/4/2024,HCH,Heart City Health - Simpson,ELK,,,CCFN,,,,,,,,187.50, 150.00 ,187.50,,,,
1/4/2024,HCH,Heart City Health - WH,ELK,,,CCFN,,,,,,,,0.00,42,0.00,,,,
1/4/2024,KBI,Kingdom Business International,SJ,,,CCFN,,,,,,,42.00,0.00,,42.00,,,,
1/4/2024,KBI,Kingdom Business International,SJ,,,CCFN,,,,,,,90.00,0.00,,90.00,,,,
1/4/2024,KBI,Kingdom Business International,SJ,,,CCFN,,,,9.00,,,448.75,0.00,,457.75,,,,
1/4/2024,KBI,Kingdom Business International,SJ,,,CCFN,225.00,,,9.00,,,390.00,0.00,,624.00,,,,
1/4/2024,LADY,Our Lady of the Road,SJ,,,CCFN,,,,60.00,,,162.00,0.00,,222.00,,,,
1/4/2024,SALVG,Salvation Army: Goshen,ELK,,,CCFN,,,,,,,30.00,0.00,,30.00,,,,
1/4/2024,SALVG,Salvation Army: Goshen,ELK,,,CCFN,135.00,,,30.00,,,240.00,0.00,,405.00,,,,
1/4/2024,THB,The Hub Bristol,ELK,,,CCFN,,,,27.00,,,82.25,0.00,,109.25,,,,
1/4/2024,THB,The Hub Bristol,ELK,,,CCFN,,,,,112.00,,,0.00,,112.00,,,,
1/4/2024,THB,The Hub Bristol,ELK,No CFFN form,,CCFN,,,,,,,,450.00,360,450.00,,,,
1/4/2024,UPP,Upper Room,SJ,,,CCFN,,,,,,,48.38,0.00,,48.38,,,,
1/4/2024,WHC,World Harvest Church,ELK,,,CCFN,,,,,112.00,,,0.00,,112.00,,,,
1/4/2024,WHC,World Harvest Church,ELK,,,CCFN,,,,957.00,,,,0.00,,957.00,,,,
1/5/2024,BRCKSJ,Brick of Hope - St Joe County,SJ,,,CCFN,,,,,,,201.50,0.00,,201.50,,,,
1/5/2024,CTA,Christ Temple Apostolic Church,SJ,,,CCFN,,80.00,120.00,,18.75,,943.50,0.00,,"1,162.25",,,,
1/5/2024,EFP,Edwardsburg Food Pantry,OTH,,,CCFN,,32.00,96.00,,18.75,,227.50,0.00,,374.25,,,,
1/5/2024,EFP,Edwardsburg Food Pantry,OTH,,,CCFN,,,,,,,628.75,0.00,,628.75,,,,
1/5/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,,6.00,,,16.00,0.00,,67.00,,,,
1/5/2024,FAF,Feed A Friend,SJ,,,CCFN,15.00,,,,,,64.75,0.00,,79.75,,,,
1/5/2024,LYD,Lydick UMC,SJ,,,CCFN,,,,,30.00,,,0.00,,30.00,,,,
1/5/2024,LYD,Lydick UMC,SJ,,,CCFN,,,,,38.75,,220.00,0.00,,258.75,,,,
1/5/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,225.00,,96.00,,,,,0.00,,321.00,,,,
1/5/2024,NNE,Near Northeast Neighborhood Center,SJ,,,CCFN,,,,,,,,75.00, 60.00 ,75.00,,,,
1/5/2024,OTH,Other,OTH,Valeries Licensed Day Care,,CCFN,,,,,60.00,,,0.00,,60.00,,,,
1/5/2024,MLF,The Miracle Lyfe Foundation,SJ,,,CCFN,,,,,,,,0.00,,0.00,,,,
1/5/2024,MLF,The Miracle Lyfe Foundation,SJ,,,CCFN,225.00,,,30.00,180.00,84.00,572.50,0.00,,"1,091.50",,,,
1/8/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,26.25,0.00,,26.25,,,,
1/8/2024,HHCC,Helping Hands - Cass County,OTH,,,CCFN,,,,,18.75,,150.00,0.00,,168.75,,,,
1/8/2024,HHCC,Helping Hands - Cass County,OTH,,,CCFN,,,,,,,364.50,0.00,,364.50,,,,
1/8/2024,OAK,Oaklawn: Hope Ave,SJ,,,CCFN,32.25,32.00,48.00,,9.38,,411.00,0.00,,532.63,,,,
1/8/2024,SJL,St. Joe Library,SJ,,,CCFN,,,,,,,,202.50, 162.00 ,202.50,,,,
1/8/2024,MLF,The Miracle Lyfe Foundation,SJ,,,CCFN,,304.00,,,,,734.00,0.00,,"1,038.00",,,,
1/8/2024,VFP,Village Food Pantry,SJ,,,CCFN,,,,,,,129.00,0.00,,129.00,,,,
1/9/2024,ANT,Antioch Missionary Baptist Church,SJ,,,CCFN,,,,,17.00,,,0.00,,17.00,,,,
1/9/2024,BCP,Broadway Christian Parish,SJ,,,CCFN,,,,,168.00,,,0.00,,168.00,,,,
1/9/2024,BCP,Broadway Christian Parish,SJ,,,CCFN,180.00,320.00,15.00,,199.00,204.00,,0.00,,918.00,,,,
1/9/2024,CCC,Christian Center Church Food Pantry,SJ,,,CCFN,,,,,28.00,,,0.00,,28.00,,,,
1/9/2024,CLU,Clubhouse of St. Joseph County,SJ,,,CCFN,,,9.00,,,34.00,,0.00,,43.00,,,,
1/9/2024,CFP,Culver Food Pantry,MAR,,,CCFN,,,,,70.00,,,0.00,,70.00,,,,
1/9/2024,CFP,Culver Food Pantry,MAR,,,CCFN,,,,,,,297.00,0.00,,297.00,,,,
1/9/2024,CFP,Culver Food Pantry,MAR,,,CCFN,,96.00,120.00,,48.75,,534.00,0.00,,798.75,,,,
1/9/2024,DAV,David's Courage,MAR,,,CCFN,,,,,14.00,,,0.00,,14.00,,,,
1/9/2024,DFI,"Davis Foundation, Inc.",SJ,,,CCFN,,64.00,15.00,,60.00,204.00,,0.00,,343.00,,,,
1/9/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,1.88,,1.50,,0.00,,3.38,,,,
1/9/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,41.25,0.00,,41.25,,,,
1/9/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,15.00,,,68.00,,0.00,,128.00,,,,
1/9/2024,GNJ,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,180.00,64.00,54.00,,289.00,143.50,,0.00,,730.50,,,,
1/9/2024,LVL,LaVille Elementary,SJ,,,Backpack,,,,,,,,300.00, 240.00 ,300.00,,,,
1/9/2024,MCCC,Marshall County Community Center,MAR,,,CCFN,,,,,280.00,,,0.00,,280.00,,,,
1/9/2024,MHM,Monastery of the Holy Martyrs,MAR,,,CCFN,,,,,168.00,,,0.00,,168.00,,,,
1/9/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,16.00,,,60.00,,,0.00,,76.00,,,,
1/9/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,225.00,80.00,,,132.00,204.00,,0.00,,641.00,,,,
1/9/2024,NC,New Carlisle Food Pantry,SJ,,,CCFN,,,,,84.00,,,0.00,,84.00,,,,
1/9/2024,OTH,Other,OTH,,,CCFN,,,,,8.00,,,0.00,,8.00,,,,
1/9/2024,VINC,St. Vincent de Paul: St Joe Parrish,SJ,,,CCFN,,,,,28.00,,,0.00,,28.00,,,,
1/9/2024,VCC,The Village Community Center,ELK,,,CCFN,160.00,80.00,105.38,,47.50,204.00,,0.00,,596.88,,,,
1/9/2024,VFP,Village Food Pantry,SJ,,,CCFN,,16.00,72.00,,,68.00,,0.00,,156.00,,,,
1/10/2024,BRE,Bremen Schools,MAR,,,Backpack,,,,,,,,375.00, 300.00 ,375.00,,,,
1/10/2024,CTA,Christ Temple Apostolic Church,SJ,,,CCFN,883.00,,377.00,377.00,,,,0.00,,"1,637.00",,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,3.00,,15.00,,0.00,,18.00,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,,,,90.00,0.00,,90.00,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,,,,199.50,0.00,,199.50,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,,,,,,,403.50,0.00,,403.50,,,,
1/10/2024,DFM,Divine Faith Ministry,SJ,,,CCFN,289.00,160.00,144.00,,,204.00,,0.00,,797.00,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,0.75,,1.50,,0.00,,2.25,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,,,,,,,26.25,0.00,,26.25,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,,,24.00,,,,16.00,0.00,,40.00,,,,
1/10/2024,FAF,Feed A Friend,SJ,,,CCFN,45.00,,17.00,,,34.00,,0.00,,96.00,,,,
1/10/2024,GNJ,Greater New Jerusalem Missionary Baptist Church,SJ,,,CCFN,,,,,,,127.00,0.00,,127.00,,,,
1/10/2024,KBI,Kingdom Business International,SJ,,,CCFN,250.00,80.00,210.00,,,204.00,449.00,0.00,,"1,193.00",,,,
1/10/2024,MIL,Milford Food Bank,ELK,,,CCFN,,,,,,,858.00,0.00,,858.00,,,,
1/10/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,,,,30.00,,,0.00,,30.00,,,,
1/10/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,32.00,,,150.00,48.00,,0.00,,230.00,,,,
1/10/2024,NBC,New Beginnings Church of Deliverance ,SJ,,,CCFN,,400.00,48.00,,,,,0.00,,448.00,,,,
1/10/2024,NIA,Northern Indiana Atheists,SJ,,,CCFN,,,36.00,,,,133.00,0.00,,169.00,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,30.00,,,,,,,0.00,,30.00,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,,,,,,,256.00,0.00,,256.00,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,,16.00,,,14.00,,316.50,0.00,,346.50,,,,
1/10/2024,OAK,Oaklawn: Oliver Apts,SJ,,,CCFN,353.00,,25.75,,,136.00,,0.00,,514.75,,,,
1/10/2024,OTH,Other,SJ,Valeries Day Care,,CCFN,,,72.00,,,,,0.00,,72.00,,,,
1/10/2024,OTH,Other,OTH,,,CCFN,,,,27.00,14.00,,68.00,0.00,,109.00,,,,
1/10/2024,OTH,Other,SJ,Valeries Day Care,,CCFN,,,36.00,,,,339.00,0.00,,375.00,,,,
1/10/2024,RCLC,Robinson Community Learning Center,SJ,,,CCFN,,,,,,68.00,,0.00,,68.00,,,,
1/10/2024,SALVSJ,"Salvation Army: St Joe, Kroc Center",SJ,,,CCFN,,,,,,170.00,,0.00,,170.00,,,,
1/10/2024,SG,Saving Grace,ELK,,,CCFN,45.00,,6.00,,,,,0.00,,51.00,,,,
1/10/2024,SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,,,Backpack,,,,,,,,712.50, 570.00 ,712.50,,,,
1/10/2024,STA,St Augustine's Parish,SJ,,,CCFN,,,,,136.80,,,0.00,,136.80,,,,
