Date,Vendor Code,Vendor,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individ Meals,Total Pounds
1/2/2023,NNE,Near Northeast Neighborhood Center,SJ,,Meals & Bulk,CCFN,,,,30.00,126.00,,,22.50, 18.00 ,178.50
1/3/2023,MHM,Monastery of the Holy Martyrs,MAR,,Bulk,CCFN,29.00,,,,,,,0.00,,29.00
1/3/2023,AIDS,Aids Ministries,SJ,,Bread,CCFN,,,,,72.80,,,0.00,,72.80
1/3/2023,ANT,Antioch Missionary Baptist Church,SJ,,Bulk,CCFN,98.00,,,,123.20,,150.00,0.00,,371.20
1/3/2023,ANT,Antioch Missionary Baptist Church,SJ,,Bulk,CCFN,89.00,,,,12.60,,45.00,0.00,,146.60
1/3/2023,BCP,Broadway Christian Parish,SJ,,Meals & Bulk,CCFN,36.00,,,,,,18.00,150.00, 120.00 ,204.00
1/3/2023,CTA,Christ Temple Apostolic Church,SJ,,Bulk,CCFN,138.00,,,,,120.00,76.00,0.00,,334.00
1/3/2023,MRN,Maranatha Missionary Baptist Church,SJ,,Meals & Bulk,CCFN,84.00,,,,78.40,,38.00,150.00, 120.00 ,350.40
1/3/2023,OAK,Oaklawn: Oliver Apts,SJ,,Bulk,CCFN,46.00,,7.00,,,2.00,11.00,0.00,,66.00
1/3/2023,OAK,Oaklawn: Properties,SJ,,Bulk,CCFN,90.00,,,,,,,0.00,,90.00
1/4/2023,BL,Bread of Life,MAR,,Bread,CCFN,,,,,420.00,,,0.00,,420.00
1/4/2023,BL,Bread of Life,MAR,,Bulk,CCFN,,,,,,,70.00,0.00,,70.00
1/4/2023,BRE,Bremen Schools,MAR,,Meals,Backpack,,,,,,,,375.00, 300.00 ,375.00
1/4/2023,MCNC,Marshall County Neighborhood Center,MAR,,Bread,CCFN,,,,,282.80,,,0.00,,282.80
1/4/2023,MCNC,Marshall County Neighborhood Center,MAR,,Bulk,CCFN,90.00,,,,,,310.00,0.00,,400.00
1/4/2023,MHM,Monastery of the Holy Martyrs,MAR,,Bread,CCFN,,,,,168.00,,,0.00,,168.00
1/4/2023,MHM,Monastery of the Holy Martyrs,MAR,,Bulk,CCFN,419.00,,813.00,12.00,736.40,97.00,897.00,0.00,,"2,974.40"
1/4/2023,SER,Serenity House,MAR,,Bulk,CCFN,,,,2.00,,,,0.00,,2.00
1/4/2023,HOH,Hands of Hope,OTH,,Bulk,CCFN,,,,,"3,745.00",,,0.00,,"3,745.00"
1/4/2023,OTH,Other,OTH,,Bulk,CCFN,90.00,,,,,,100.00,0.00,,190.00
1/4/2023,ANT,Antioch Missionary Baptist Church,SJ,,Bulk,CCFN,89.00,,,,12.60,,57.00,0.00,,158.60
1/4/2023,BC,Briarcliff Rehab,SJ,,Bread,CCFN,,,,,72.80,,,0.00,,72.80
1/4/2023,BCP,Broadway Christian Parish,SJ,,Meals & Bulk,CCFN,50.00,,,182.00,64.40,138.00,45.00,75.00, 60.00 ,554.40
1/4/2023,BCP,Broadway Christian Parish,SJ,,Bulk,CCFN,383.00,,,45.00,,,,0.00,,428.00
1/4/2023,LYD,Lydick UMC,SJ,,Bulk,CCFN,104.00,,,,72.60,,223.00,0.00,,399.60
1/4/2023,MFP,Mishawaka Food Pantry,SJ,,Bread,CCFN,,,,,280.00,,,0.00,,280.00
1/4/2023,MFP,Mishawaka Food Pantry,SJ,,Meals & Bulk,CCFN,6.00,,,86.00,,,,60.00, 48.00 ,152.00
1/4/2023,NNE,Near Northeast Neighborhood Center,SJ,,Meals & Bulk,CCFN,,,,30.00,126.00,,,22.50, 18.00 ,178.50
1/4/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,106.00,,1.00,43.00,84.00,9.00,253.00,0.00,,496.00
1/4/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,33.75,,27.00,26.25,123.20,2.25,7.00,0.00,,219.45
1/4/2023,OAK,Oaklawn: Oliver Apts,SJ,,Meals & Bulk,CCFN,144.00,,,,63.00,,333.00,75.00, 60.00 ,615.00
1/4/2023,OAK,Oaklawn: Oliver Apts,SJ,,Meals & Bulk,CCFN,144.00,,,,163.45,,72.00,75.00, 60.00 ,454.45
1/4/2023,STA,St Augustine's Parish,SJ,,Bulk,CCFN,,,,186.00,,,40.00,0.00,,226.00
