,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
B+B2:K65645CP,Broadway Christian Parish Church,SJ,0,0,CCFN,159,0,0,0,0,69,6,150,120,384,78,0,
CCCFP,Christian Center Church,SJ,0,0,CCFN,75,0,0,0,0,40.25,44,150,120,309.25,78,0,"530 E Ireland Rd, South Bend, IN 46614"
EC,The Excel Center - Elkhart,SJ,0,0,CCFN,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
NIA,Atheists of Northern Indiana Inc.,SJ,0,0,CCFN,62.5,0,0,0,0,34,0,0,0,96.5,78,0,
THB,Bristol Community Food Pantry,ELK,0,0,CCFN,63,0,0,0,0,34.5,194,150,120,441.5,78,0,
VFP,Village Pantry,SJ,0,0,CCFN,104.5,0,0,0,0,0,0,0,0,104.5,78,0,"13060 Jefferson Blvd, Mishawaka, IN 46545"
BGCE,Boys & Girls Club of Elkhart,ELK,0,0,Backpack,0,0,0,0,0,11.5,162,0,0,173.5,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,84.5,0,0,0,18,11.5,70.1,30,24,214.1,78,0,"911 California Ave, South Bend, IN 46616"
GFP,Gymtown Pantry INC.,ELK,0,0,CCFN,124.5,0,315,0,0,0,146.25,0,0,585.75,78,0,
MBFP,Middlebury Community Food Pantry - Food Distribution Center,ELK,0,0,CCFN,245.5,0,0,0,12.5,69,426,0,0,753,78,0,
FO,Fishers Outreach,SJ,0,0,CCFN,210,0,0,0,0,0,0,0,0,210,78,0,
OP,Oaklawn,SJ,0,0,CCFN,11.5,0,0,0,0,0,0,0,0,11.5,78,0,"415 E Madison St, South Bend, IN 46617"
WHCP,World Harvest Church Elkhart,ELK,0,0,CCFN,381,0,191.8,272,381,0,249,150,120,1624.8,78,0,
OPC,Oaklawn Psychiatric Center,SJ,0,0,CCFN,0,0,0,0,0,5.75,0,30,24,35.75,78,0,
TW,The Window,ELK,0,0,CCFN,159,0,0,0,0,0,195,150,120,504,78,0,"223 S Main St, Goshen, IN 46526"
SAG,"Salvation Army North Main Street, Goshen, IN",ELK,0,0,CCFN,157.8,0,0,0,0,0,0,0,0,157.8,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,260,0,0,0,0,69,146.8,0,0,475.8,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,0,100,0,225,18,0,10,0,0,353,78,0,
CON,South Bend First Church of the Nazarene,SJ,0,0,CCFN,0,0,0,1,0,0,62,0,0,63,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,53,100,0,209,0,0,5,15,12,382,78,0,
TMLF,"1323 Miami , South Bend, IN, United States, Indiana",SJ,0,0,CCFN,122.56,0,0,5.5,36,69,524.5,0,0,757.56,78,0,
OOA,Oliver Apartments,SJ,0,0,CCFN,41,50,0,59,0,23,44,0,0,217,78,0,"924 W Indiana Ave, South Bend, IN 46613"
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,52,0,0,0,0,5.7,678.9,0,0,736.6,78,0,
STVINC,St Vincent De Paul Catholic Church,ELK,0,0,CCFN,63,0,0,27,0,69,0,255,204,414,78,0,"1108 S Main St, Elkhart, IN 46516"
MHA,Miami Hills Apartments,SJ,0,0,CCFN,69,0,0,0,40,0,49,0,0,158,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,84.5,0,0,0,18,11.5,77.6,30,24,221.6,78,0,"911 California Ave, South Bend, IN 46616"
OPSHE,Oaklawn Psychiatric Center,ELK,0,0,CCFN,127,0,0,13.5,0,0,134.6,75,60,350.1,78,0,
OPSHG,Oaklawn Psychiatric Center - Lakview Drive,ELK,0,0,CCFN,105.5,0,0,0,0,34.8,25,0,0,165.3,78,0,
CBCC,Charles Black Community Center,SJ,0,0,CCFN,6,30,30,0,0,0,0,0,0,66,78,0,
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,75,60,75,78,0,
CTAC,Christ Temple Apostolic,SJ,0,0,CCFN,0,0,0,0,0,138,327,0,0,465,78,0,"2307 Elwood Ave, South Bend, IN 46628"
CLAY,Clay Church Food Pantry,SJ,0,0,CCFN,0,0,0,0,0,0,0,375,300,375,78,0,
OHA,Oaklawn: Hope Ave,ELK,0,0,CCFN,0,0,0,0,0,48,0,0,0,48,78,0,
SPBMBC,St Paul Bethel Baptist Church,SJ,0,0,CCFN,75,0,0,0,0,0,0,0,0,75,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,18,0,0,0,0,0,0,0,0,18,78,0,
LYD,Lydick United Methodist Church,SJ,0,0,CCFN,104.8,0,0,137,0,0,30,0,0,271.8,78,0,
DFM,Divine Faith Ministries International,SJ,0,0,CCFN,169,0,0,55,0,117,0,0,0,341,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,74,0,0,0,18,5.6,7,30,24,134.6,78,0,"911 California Ave, South Bend, IN 46616"
SJL,St. Joe County Public Library,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
STVINC,St Vincent de Paul Pastoral Center,ELK,0,0,CCFN,94,100,12,96,0,0,0,0,0,302,78,0,"428 Melcher Ave, Elkhart, IN 46516"
CE,Culver Elementary School,MAR,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,0,0,255,0,0,0,0,0,0,255,78,0,
CHS,Culver Community Middle/High School,MAR,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
FO,Fishers Outreach,SJ,0,0,CCFN,0,0,14,96,623,48,0,0,0,781,78,0,
KKH,Karl King Riverbend Tower,SJ,0,0,CCFN,263.5,144,97,313,55,159,348,150,120,1529.5,78,0,
LS,Legacy Steps,SJ,0,0,CCFN,0,144,0,0,0,0,0,0,0,144,78,0,
OLOTR,Our Lady of the Road,SJ,0,0,CCFN,0,48,22,135,0,0,108,75,60,388,78,0,
SJL,St. Joe County Public Library,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,495,114,47,254,18,236,737,75,60,1976,78,0,
AFFM,Abundant Faith Family Ministries,SJ,,0,CCFN,3.7,101,40,31,20,25,11,0,0,231.7,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,24,11,35,0,0,46.5,30,24,146.5,78,0,"911 California Ave, South Bend, IN 46616"
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,380.1,0,709.1,606.1,224,356,1425.3,150,120,3850.6,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,719,0,223,163.25,16,216,401,0,0,1738.25,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,159,100,15,0,0,69,260,0,0,603,78,0,
