Date,Vendor Code,Vendor,County,"Notes for ""Other",Order #,Program,Protein LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indiv Meal LBS,Indiv Meals,Total Pounds," 8,093,927.70 ",,,,,,,,
1/3/2023,,Antioch Missionary Baptist Church,St. Joseph,,5244,CCFN,118,,,,53,,5,,,176,,,,,,,,,
1/3/2023,,Antioch Missionary Baptist Church,St. Joseph,,5270,CCFN,48,,,,,,,,,48,,,,,,,,,
1/3/2023,,Antioch Missionary Baptist Church,St. Joseph,,5285,CCFN,,,,,21,,,,,21,,,,,,,,,
1/3/2023,,Broadway Christian Parish,St. Joseph,,5253,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/3/2023,,Broadway Christian Parish,St. Joseph,,5253,CCFN,36,,,103,35,,3.9,,,177.9,,,,,,,,,
1/3/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5278,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/3/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5278,CCFN,108,,,,55.3,,109.3,,,272.6,,,,,,,,,
1/3/2023,,Oaklawn Properties,St. Joseph,,5240,CCFN,69,,3.5,,4.5,9,,,,86,,,,,,,,,
1/3/2023,,Oaklawn Properties,St. Joseph,,5255,CCFN,,,,,,,2.4,,,2.4,,,,,,,,,
1/4/2023,,Bread of Life Community FP,LaGrange,,5287,CCFN,,,45,,,,70,,,115,,,,,,,,,
1/4/2023,,Broadway Christian Parish,St. Joseph,,5288,Backpack,,,,,,,,75,60,75,,,,,,,,,
1/4/2023,,Broadway Christian Parish,St. Joseph,,5288,CCFN,,,,,,239,45,,,284,,,,,,,,,
1/4/2023,,David's Courage,,,5143,CCFN,117,,,,,,23,,,140,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5203,CCFN,,,,,8,,,,,8,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5206,CCFN,,,,,12,,40.5,,,52.5,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5222,CCFN,,,,,,,,,,,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5230,CCFN,,,,,21,,,,,21,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5236,CCFN,18,,,,1.9,,62,,,81.9,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5261,CCFN,96,,21,43,,,,,,160,,,,,,,,,
1/4/2023,,Hope Avenue - Oaklawn,St. Joseph,,5265,CCFN,,,,,,,40,,,40,,,,,,,,,
