County,Public,School,Cultivate support ,% Free/Reduced,Total Enrollment,Cultivate annual meals,County food insecure applied,Food insecure by 10 month school year,Potential missing?,,,,
St. Joseph,Public,Adams High School,N,49,1966,,307,,,,*Public school has enrollment and reduced fee %,,
Marshall,Public,Argos Community Elementary,Y,56,319,,44,,,,* If cultivate exact school numbers were available I calculated using food insecure rate of the county,,
Marshall,Public,Argos Community Jr-Sr High School,Y,51,320,,44,,,,,,
St. Joseph,Private,Bais Yaakov High School,N,,,,,,,,,,
Elkhart,Private,Bashor Alternative School,N,,,,,,,,,,
St. Joseph,Public,Battell Elementary School,N,43,291,,45,,,,,,
Elkhart,Public,Beardsley Elementary School,N,69,356,,52,,,,,,
St. Joseph,Public,Beiger Elementary School,N,30,504,,79,,,,,,
Elkhart,Public,Benton Elementary School,N,21,481,,70,,,,,,
Elkhart,Private,Bethany Christian Schools,N,,,,,,,,,,
St. Joseph,Public,Bittersweet Elementary School,N,34,494,,77,,,,,,
Marshall,Private,Borkholder School,N,,,,,,,,,,
Marshall,Public,Bremen Elementary/Middle School,N,52,1015,,141,,,,,,
Marshall,Public,Bremen Senior High School,Y,40,482,,67,,,,,,
Elkhart,Public,Bristol Elementary School,Y,58,296,,43,,,,,,
St. Joseph,Private,Career Academy,Y,,,,,,,,,,
St. Joseph,Public,Cavemen Academy of Virtual Excellence,N,68,162,,25,,,,,,
Elkhart,Public,Chamberlain Elementary School,Y,80,342,,50,,,,,,
Elkhart,Public,Chandler Innovation Academy,N,61,357,,52,,,,,,
St. Joseph,Private,Christ the King School,N,,,,,,,,,,
St. Joseph,Public,Clay International Academy,Y,63,496,,77,,,,,,
Elkhart,Public,Cleveland Elementary School,Y,56,519,,75,,,,,,
Elkhart,Private,Clinton Christian School,N,,,,,,,,,,
St. Joseph,Private,Community Baptist Christian School,N,,,,,,,,,,
Elkhart,Public,Concord Community High School,N,54,1727,,250,,,,,,
Elkhart,Public,Concord East Side Elementary School,Y,54,545,2562,79,18960,16398,,,,
Elkhart,Public,Concord Intermediate School,N,62,756,,110,,,,,,
Elkhart,Public,Concord Junior High School,N,60,855,,124,,,,,,
Elkhart,Public,Concord Ox Bow Elementary School,Y,54,431,4344,62,14880,10536,,,,
Elkhart,Public,Concord South Side Elementary School,Y,71,394,7296,57,13680,6384,,,,
Elkhart,Public,Concord West Side Elementary School,Y,84,504,7248,73,17520,10272,,,,
St. Joseph,Public,Coquillard Elementary School,N,64,305,,48,,,,,,
Elkhart,Private,Cornerstone Christian Montessori School,N,,,,,,,,,,
St. Joseph,Private,Corpus Christi School,N,,,,,,,,,,
Elkhart,Private,Country Echos School,N,,,,,,,,,,
Elkhart,Private,Country Lane School,N,,,,,,,,,,
St. Joseph,Private,Covenant Christian School,N,,,,,,,,,,
Marshall,Private,Creekside School (Bourbon),N,,,,,,,,,,
Elkhart,Private,Crossing School of Business & Entrepreneurship (Elkhart),Y,,,,,,,,,,
Marshall,Private,Culver Academies,N,,,,,,,,,,
Marshall,Public,Culver Community Middle/High School,Y,64,391,1866,54,12960,11094,,,,
Marshall,Public,Culver Elementary School,Y,61,386,5010,54,12960,7950,,,,
St. Joseph,Public,Darden Elementary School,Y,53,375,,59,,,,,,
Marshall,Private,Dausman Prairie School,N,,,,,,,,,,
St. Joseph,Private,DePaul Academy,N,,,,,,,,,,
St. Joseph,Public,Dickinson Academy,N,75,309,,48,,,,,,
St. Joseph,Public,Discovery Middle School,N,19,941,,147,,,,,,
Elkhart,Private,East Locke School,N,,,,,,,,,,
Elkhart,Public,Eastwood Elementary School,Y,45,428,,62,,,,,,
St. Joseph,Public,Edison Middle School,Y,67,551,,86,,,,,,
Elkhart,Public,Elkhart Alternative Education,Y,68,279,,40,,,,,,
Elkhart,Private,Elkhart Christian Academy,N,,,,,,,,,,
Elkhart,Public,Elkhart High School,N,50,3073,,446,,,,,,
St. Joseph,Public,Elm Road Elementary School,N,42,503,,78,,,,,,
St. Joseph,Public,Elsie Rogers Elementary School,N,41,361,,56,,,,,,
St. Joseph,Public,Emmons Elementary School,N,43,422,,66,,,,,,
Elkhart,Public,Excel Center - Elkhart,N,8,260,,38,,,,,,
Elkhart,Public,Fairfield Jr-Sr High School,N,28,944,,137,,,,,,
Elkhart,Private,Forest Grove School,N,,,,,,,,,,
St. Joseph,Public,Fred J Hums Elementary School,N,25,327,,51,,,,,,
St. Joseph,Private,Good Shepherd Montessori School,N,,,,,,,,,,
Elkhart,Public,Goshen High School,Y,61,1717,3534,249,59760,56226,,,,
Elkhart,Public,Goshen Intermediate School,Y,71,889,1860,129,30960,29100,,,,
Elkhart,Public,Goshen Junior High School,N,72,927,,134,,,,,,
Marshall,Private,Grace Baptist Christian School,N,,,,,,,,,,
St. Joseph,Private,Granger Christian School,N,,,,,,,,,,
St. Joseph,Public,Grissom Middle  School,Y,51,662,756,103,24785,24029,,,,
St. Joseph,Public,Harold C Urey Middle School,Y,47,301,,47,,,,,,
Elkhart,Private,Harrison Christian School,N,,,,,,,,,,
St. Joseph,Public,Harrison Elementary School (South Bend),Y,73,555,,87,,,,,,
Elkhart,Public,Hawthorne Early Learning Center (PACE),Y,20,156,,23,,,,,,
Elkhart,Public,Heritage Intermediate School,N,40,574,,83,,,,,,
Elkhart,Private,Hillside School,N,,,,,,,,,,
St. Joseph,Private,Holy Cross School,N,,,,,,,,,,
St. Joseph,Private,Holy Family School,N,,,,,,,,,,
St. Joseph,Public,Horizon Elementary School,N,17,679,,106,,,,,,
Marshall,Private,House of the Lord Christian Academy,N,,,,,,,,,,
St. Joseph,Private,Ironwood Christian Academy,N,,,,,,,,,,
St. Joseph,Public,Jackson Middle School,N,72,537,,84,,,,,,
Elkhart,Public,Jefferson Elementary School (Concord),N,56,344,,50,,,,,,
Marshall,Public,Jefferson Elementary School (Plymouth),N,60,240,,33,,,,,,
St. Joseph,Public,Jefferson Traditional School,N,59,591,,92,,,,,,
Elkhart,Public,Jimtown Elementary School,N,48,418,,61,,,,,,
Elkhart,Public,Jimtown High School,N,41,546,,79,,,,,,
Elkhart,Public,Jimtown Intermediate School,N,46,580,,84,,,,,,
Elkhart,Public,Jimtown Junior High School,N,43,305,,44,,,,,,
St. Joseph,Public,John Glenn High School,Y,40,629,,98,,,,,,
St. Joseph,Public,John J Young Middle School,N,29,709,,111,,,,,,
St. Joseph,Public,Juvenile Justice Center,N,36,11,,2,,,,,,
St. Joseph,Public,Kennedy Academy,N,50,443,,69,,,,,,
St. Joseph,Public,Lafayette Early Childhood Center,N,67,6,,1,,,,,,
St. Joseph,Public,Lancer Virtual School,N,69,26,,4,,,,,,
St. Joseph,Public,LaSalle Academy,N,42,461,,72,,,,,,
St. Joseph,Public,Lasalle Elementary School (Mishawaka),N,43,519,,81,,,,,,
St. Joseph,Public,LaVille Elementary School,Y,54,649,2064,101,24240,22176,,,,
