NAME,Total,Median.Income.,Pounds Needed**,Poverty_Level,Poverty Number,Dollar Shortfall,Pounds Needed,Pounds Needed*
1,2246,33938,"172,706.17",43.94%,986.89,"$230,932.82","307,910.43","172,706.17"
10,3925,55775,"184,288.56",26.83%,"1,053.08","$246,420.14","328,560.18","184,288.56"
101,2799,37379,"108,398.27",22.13%,619.42,"$144,943.98","193,258.63","108,398.27"
102.01,3716,43951,"172,849.74",26.58%,987.71,"$231,124.80","308,166.39","172,849.74"
102.02,1685,36029,"94,713.85",32.12%,541.22,"$126,645.95","168,861.26","94,713.85"
103,5682,50595,"325,848.50",32.77%,"1,861.99","$435,705.99","580,941.32","325,848.50"
104,3228,60293,"58,636.62",10.38%,335.07,"$78,405.54","104,540.72","58,636.62"
105,3047,70837,"47,243.74",8.86%,269.96,"$63,171.62","84,228.83","47,243.74"
106,3776,53705,"84,582.40",12.80%,483.33,"$113,098.75","150,798.34","84,582.40"
107,4006,73565,"60,430.51",8.62%,345.32,"$80,804.22","107,738.97","60,430.51"
108,4325,69107,"35,043.31",4.63%,200.25,"$46,857.92","62,477.22","35,043.31"
109.01,4280,78542,"76,398.00",10.20%,436.56,"$102,155.04","136,206.72","76,398.00"
109.02,3582,107863,"33,599.16",5.36%,192.00,"$44,926.88","59,902.50","33,599.16"
11,4232,52683,"188,260.52",25.42%,"1,075.77","$251,731.21","335,641.61","188,260.52"
110.01,2804,112083,"18,204.97",3.71%,104.03,"$24,342.65","32,456.86","18,204.97"
110.02,4556,81696,"33,406.87",4.19%,190.90,"$44,669.76","59,559.68","33,406.87"
111,4789,47105,"141,383.25",16.87%,807.90,"$189,049.61","252,066.14","141,383.25"
112.03,9438,40284,"524,729.21",31.77%,"2,998.45","$701,637.91","935,517.21","524,729.21"
113.03,6149,68850,"99,536.94",9.25%,568.78,"$133,095.11","177,460.14","99,536.94"
113.04,2479,126513,"22,255.22",5.13%,127.17,"$29,758.41","39,677.88","22,255.22"
113.05,4427,100548,"6,817.58",0.88%,38.96,"$9,116.08","12,154.77","6,817.58"
113.06,3116,95523,"8,397.62",1.54%,47.99,"$11,228.82","14,971.76","8,397.62"
113.07,2941,75732,"31,343.71",6.09%,179.11,"$41,911.01","55,881.35","31,343.71"
113.08,4242,88793,"45,134.88",6.08%,257.91,"$60,351.78","80,469.04","45,134.88"
113.09,2672,58619,"38,997.84",8.34%,222.84,"$52,145.68","69,527.58","38,997.84"
113.1,2774,62614,"46,603.20",9.60%,266.30,"$62,315.14","83,086.85","46,603.20"
114.03,5629,109265,"42,161.21",4.28%,240.92,"$56,375.56","75,167.41","42,161.21"
114.04,6639,156926,"77,377.55",6.66%,442.16,"$103,464.83","137,953.11","77,377.55"
114.05,3860,110508,"37,625.35",5.57%,215.00,"$50,310.47","67,080.62","37,625.35"
114.06,5657,102137,"65,041.36",6.57%,371.66,"$86,969.59","115,959.45","65,041.36"
115.01,4052,37222,"108,208.66",15.26%,618.34,"$144,690.44","192,920.58","108,208.66"
115.03,2522,89706,"24,671.47",5.59%,140.98,"$32,989.27","43,985.70","24,671.47"
115.04,1802,91458,"39,954.85",12.67%,228.31,"$53,425.34","71,233.78","39,954.85"
115.05,3705,64395,"106,722.53",16.46%,609.84,"$142,703.26","190,271.02","106,722.53"
115.06,4666,47222,"115,215.21",14.11%,658.37,"$154,059.19","205,412.25","115,215.21"
116.02,7347,63689,"121,115.30",9.42%,692.09,"$161,948.45","215,931.27","121,115.30"
116.03,4957,111705,"23,074.84",2.66%,131.86,"$30,854.35","41,139.13","23,074.84"
116.04,3637,101332,700.12,0.11%,4.00,$936.16,"1,248.22",700.12
117.01,4433,88919,"66,561.50",8.58%,380.35,"$89,002.23","118,669.64","66,561.50"
117.03,3721,54594,"57,173.17",8.78%,326.70,"$76,448.69","101,931.59","57,173.17"
117.04,4538,71694,"86,880.01",10.94%,496.46,"$116,170.98","154,894.65","86,880.01"
118.01,1373,91058,"1,393.60",0.58%,7.96,"$1,863.44","2,484.58","1,393.60"
118.03,3330,70320,"26,048.93",4.47%,148.85,"$34,831.13","46,441.51","26,048.93"
118.04,2529,81600,"44,965.62",10.16%,256.95,"$60,125.46","80,167.28","44,965.62"
119,4135,70882,"43,706.95",6.04%,249.75,"$58,442.44","77,923.25","43,706.95"
12,2166,105804,"14,328.09",3.78%,81.87,"$19,158.70","25,544.94","14,328.09"
120,3845,77440,"20,186.25",3.00%,115.35,"$26,991.90","35,989.20","20,186.25"
121,3359,73509,"34,152.63",5.81%,195.16,"$45,666.95","60,889.26","34,152.63"
122,2794,64047,"27,967.94",5.72%,159.82,"$37,397.13","49,862.84","27,967.94"
123,3477,76049,"56,709.87",9.32%,324.06,"$75,829.20","101,105.60","56,709.87"
124,1922,100313,"20,113.73",5.98%,114.94,"$26,894.93","35,859.91","20,113.73"
13,2058,62558,"25,210.50",7.00%,144.06,"$33,710.04","44,946.72","25,210.50"
14,3507,56568,"111,145.60",18.11%,635.12,"$148,617.54","198,156.72","111,145.60"
15,3243,48375,"145,570.16",25.65%,831.83,"$194,648.10","259,530.80","145,570.16"
16,2637,120097,"13,290.48",2.88%,75.95,"$17,771.27","23,695.03","13,290.48"
17,1232,24476,"68,992.00",32.00%,394.24,"$92,252.16","123,002.88","68,992.00"
19,1016,40655,"47,419.26",26.67%,270.97,"$63,406.32","84,541.77","47,419.26"
2,4009,50724,"209,139.51",29.81%,"1,195.08","$279,649.40","372,865.86","209,139.51"
20,1250,25114,"115,325.00",52.72%,659.00,"$154,206.00","205,608.00","115,325.00"
21,1603,51118,"85,139.34",30.35%,486.51,"$113,843.46","151,791.28","85,139.34"
22,3068,45374,"188,451.90",35.10%,"1,076.87","$251,987.11","335,982.82","188,451.90"
23,1296,25660,"109,544.40",48.30%,625.97,"$146,476.51","195,302.02","109,544.40"
24,2899,37104,"111,865.16",22.05%,639.23,"$149,579.70","199,439.60","111,865.16"
25,1857,60820,"47,933.81",14.75%,273.91,"$64,094.36","85,459.14","47,933.81"
26,3794,46391,"104,040.97",15.67%,594.52,"$139,117.63","185,490.18","104,040.97"
27,1831,40852,"115,000.53",35.89%,657.15,"$153,772.14","205,029.52","115,000.53"
28,2349,35409,"145,438.34",35.38%,831.08,"$194,471.83","259,295.77","145,438.34"
29,1036,23590,"109,342.03",60.31%,624.81,"$146,205.91","194,941.22","109,342.03"
3.01,2612,67900,"39,539.15",8.65%,225.94,"$52,869.49","70,492.66","39,539.15"
3.02,2834,36943,"123,392.36",24.88%,705.10,"$164,993.21","219,990.95","123,392.36"
30,1615,32344,"168,359.71",59.57%,962.06,"$225,120.99","300,161.32","168,359.71"
31,3921,40799,"174,357.07",25.41%,996.33,"$233,140.31","310,853.74","174,357.07"
32,5192,78688,"42,159.04",4.64%,240.91,"$56,372.66","75,163.55","42,159.04"
33,2888,57766,"163,699.06",32.39%,935.42,"$218,889.03","291,852.04","163,699.06"
34,3886,42938,"201,226.80",29.59%,"1,149.87","$269,068.97","358,758.63","201,226.80"
35,2937,53076,"103,206.18",20.08%,589.75,"$138,001.41","184,001.88","103,206.18"
4,2464,25313,"172,221.28",39.94%,984.12,"$230,284.45","307,045.94","172,221.28"
5,1731,48611,"103,418.60",34.14%,590.96,"$138,285.44","184,380.58","103,418.60"
6,1969,40750,"113,916.50",33.06%,650.95,"$152,322.63","203,096.84","113,916.50"
